Date, Open, High, Low, Close, Volume
9/2/20,10,10,9.65,9.65,700
9/3/20,9.72,9.72,9.69,9.69,26821
9/4/20,9.7,9.76,9.69,9.74,637713
9/8/20,9.74,9.74,9.74,9.74,29
9/9/20,9.73,9.74,9.71,9.74,8353
9/10/20,9.75,9.75,9.71,9.75,1463081
9/11/20,9.72,9.81,9.72,9.73,10613
9/14/20,9.73,9.75,9.7,9.75,340590
9/15/20,10,10.69,9.71,9.71,86422
9/16/20,9.72,9.72,9.71,9.7199,76503
9/17/20,9.74,9.75,9.72,9.74,1090978
9/18/20,9.845,9.845,9.73,9.77,228687
9/21/20,9.7393,9.77,9.7393,9.77,547728
9/22/20,9.76,9.76,9.75,9.75,99024
9/23/20,9.75,9.77,9.75,9.76,514604
9/24/20,9.75,9.76,9.75,9.75,315225
9/25/20,9.75,9.76,9.75,9.75,165303
9/28/20,9.75,9.76,9.75,9.76,1308
9/29/20,9.76,9.8,9.76,9.77,829764
9/30/20,9.77,9.9,9.75,9.81,609523
10/1/20,9.8,9.81,9.76,9.77,209612
10/2/20,9.75,9.76,9.75,9.75,356572
10/5/20,9.8,9.8,9.8,9.8,129
10/6/20,9.77,9.77,9.76,9.76,16543
10/7/20,9.77,9.77,9.77,9.77,1223
10/8/20,9.76,9.77,9.76,9.77,20613
10/9/20,9.76,9.76,9.74,9.74,23786
10/12/20,9.75,9.765,9.75,9.76,3542
10/13/20,9.71,9.73,9.7,9.73,153329
10/14/20,9.73,9.73,9.73,9.73,311536
10/15/20,9.73,9.73,9.72,9.72,105563
10/16/20,9.73,9.79,9.7298,9.73,14415
10/19/20,9.73,9.78,9.73,9.73,80153
10/20/20,9.73,9.73,9.73,9.73,5630
10/21/20,9.73,9.73,9.73,9.73,113
10/22/20,9.71,9.72,9.68,9.72,207060
10/23/20,9.72,9.72,9.68,9.7,2372
10/26/20,9.68,9.75,9.68,9.75,115055
10/27/20,9.68,9.7,9.68,9.685,9623
10/28/20,9.68,9.71,9.67,9.71,161621
10/29/20,9.68,9.7,9.6593,9.67,125104
10/30/20,9.68,9.68,9.66,9.66,100489
11/2/20,9.7,9.7,9.65,9.65,20082
11/3/20,9.66,9.7,9.65,9.66,23430
11/4/20,9.67,9.7,9.67,9.7,8177
11/5/20,9.7,9.71,9.7,9.71,3239
11/6/20,9.6881,9.6881,9.6881,9.6881,400
11/9/20,9.71,9.72,9.71,9.7102,10241
11/10/20,9.7,9.7,9.7,9.7,7502
11/11/20,9.7,9.72,9.7,9.7,10280
11/12/20,9.7,9.7199,9.7,9.7199,10320
11/13/20,9.72,9.72,9.72,9.72,7534
11/16/20,9.73,9.74,9.73,9.73,106786
11/17/20,9.73,9.76,9.725,9.75,565711
11/18/20,9.77,9.78,9.73,9.78,128492
