File Date,Investor,Form,Put/Call,Prev Shares,Current Shares,Change (Percent),Prev Value ($K),Current Value ($K),Change (Percent),Cost Basis,Profit,Performance
10/5/17,"Kelman-Lazarov, Inc.",13F,NaN,10340,0,-10340,116,0,-100,-116,0,0
10/5/17,"Crow Point Partners, LLC",13F,NaN,8700,0,-8700,97,0,-100,-97,0,0
10/5/17,Amarillo National Bank,13F,NaN,17077,0,-17077,192,0,-100,-192,0,0
10/10/17,Chemung Canal Trust Co,13F,NaN,10041,0,-10041,112,0,-100,-112,0,0
10/12/17,V Wealth Advisors LLC,13F,NaN,9994,0,-9994,112,0,-100,-112,0,0
10/12/17,Nexus Investment Management ULC,13F,NaN,47000,0,-47000,526,0,-100,-526,0,0
10/13/17,"Advocacy Wealth Management Services, LLC",13F,NaN,190,0,-190,2,0,-100,-2,0,0
10/18/17,Lincoln Capital Corp,13F,NaN,91462,0,-91462,1023,0,-100,0,0,0
10/24/17,"IMA Wealth, Inc.",13F,NaN,48264,0,-48264,540,0,-100,-540,0,0
10/26/17,Baldwin Brothers Inc/ma,13F,NaN,1000,0,-1000,11,0,-100,-11,0,0
10/26/17,"Callahan Advisors, LLC",13F,NaN,17643,0,-17643,197,0,-100,0,0,0
10/26/17,"Raymond James Financial Services Advisors, Inc.",13F,Put,69000,0,-69000,66,0,-100,-66,0,0
10/26/17,"Sunflower Bank, Na Wealth Management",13F,NaN,114810,0,-114810,1284,0,-100,-1284,0,0
10/26/17,"Lyell Wealth Management, Lp",13F,NaN,22180,0,-22180,248,0,-100,-248,0,0
10/26/17,"United Bank, Inc.",13F,NaN,429915,93783,-336132,4811,1123,-76.66,-3893.24889,205.24889,4.266241738
10/26/17,Private Capital Management Inc,13F,NaN,23050,0,-23050,258,0,-100,-258,0,0
10/27/17,Stewart & Patten Co Llc,13F,NaN,95324,0,-95324,1067,0,-100,-1067,0,0
10/30/17,"Capital Advantage, Inc.",13F,NaN,10885,0,-10885,122,0,-100,0,0,0
10/31/17,"Empirical Finance, LLC",13F,NaN,82987,0,-82987,929,0,-100,-929,0,0
10/31/17,Barrington Strategic Wealth Management Group LLC,13F,NaN,58899,57289,-1610,659,686,4.1,-18.646215,45.646215,6.926588012
10/31/17,Ray Gerald L & Associates Ltd,13F,NaN,86076,81076,-5000,963,970,0.73,-57.8795,64.8795,6.737227414
11/1/17,SeaTown Holdings Pte. Ltd.,13F,NaN,450000,0,-450000,5036,0,-100,-5036,0,0
11/2/17,"CNO Financial Group, Inc.",13F,NaN,64787,0,-64787,725,0,-100,0,0,0
11/2/17,"RFG Advisory, LLC",13F,NaN,12981,0,-12981,144,0,-100,-144,0,0
11/2/17,S. R. Schill & Associates,13F,NaN,38046,0,-38046,426,0,-100,-426,0,0
