Date, Open, High, Low, Close, Volume
1/2/18,12.52,12.66,12.5,12.66,20773320
1/3/18,12.68,12.8,12.67,12.76,29765641
1/4/18,12.78,13.04,12.77,12.98,37478199
1/5/18,13.06,13.22,13.04,13.2,46121871
1/8/18,13.21,13.22,13.11,13.15,33828328
1/9/18,13.18,13.22,13.08,13.08,27924109
1/10/18,13.06,13.139,12.96,13.03,56517141
1/11/18,13.02,13.2,13,13.16,28342289
1/12/18,13.1,13.29,13.1,13.23,56979191
1/16/18,13.31,13.48,13.01,13.1,53961379
1/17/18,12.58,12.58,12.1,12.18,132412500
1/18/18,12.18,12.2,12.02,12.07,66541727
1/19/18,12.12,12.12,11.91,12,51303754
1/22/18,12.02,12.08,11.9,12.02,52851922
1/23/18,12.03,12.03,11.9,11.96,51830969
1/24/18,12,12.09,11.92,12.05,63300480
1/25/18,11.93,11.93,11.44,11.57,114886797
1/26/18,11.59,11.7,11.5,11.65,52496000
1/29/18,11.42,11.47,11.11,11.12,55113969
1/30/18,11.09,11.23,11.05,11.06,52068191
1/31/18,11.09,11.115,10.9,10.97,57644578
2/1/18,10.95,11,10.85,10.92,41352191
2/2/18,10.88,10.88,10.62,10.71,72312922
2/5/18,10.78,10.8,10.24,10.24,96756961
2/6/18,10.27,10.79,10.19,10.76,139938094
2/7/18,10.75,11.04,10.7,10.76,68041789
2/8/18,10.79,10.86,10.42,10.43,73990727
2/9/18,10.57,10.64,10.24,10.53,72103617
2/12/18,10.67,10.82,10.5436,10.7,49068953
2/13/18,10.63,10.69,10.53,10.59,36884488
2/14/18,10.55,10.75,10.5,10.74,27844340
2/15/18,10.8,10.8,10.64,10.76,28208311
2/16/18,10.7,10.82,10.52,10.61,41041762
2/20/18,10.58,10.67,10.55,10.63,27617869
2/21/18,10.65,10.75,10.59,10.6,36037719
2/22/18,10.6,10.73,10.56,10.63,25409561
2/23/18,10.67,10.71,10.62,10.7,21786779
2/26/18,10.74,10.95,10.7,10.89,27157760
